Review_ID,Book_ID,Customer_ID,Rating,Review_Date
1,328,58,1,2023-10-09
2,126,115,3,2023-04-15
3,347,380,5,2023-03-31
4,303,217,1,2023-04-06
5,112,120,4,2023-01-28
6,288,102,5,2024-12-19
7,280,215,3,2024-08-26
8,143,415,5,2023-06-13
9,358,217,4,2023-06-09
10,111,491,5,2023-04-15
11,48,195,2,2023-12-19
12,310,136,5,2024-04-15
13,275,64,5,2024-01-23
14,41,283,3,2024-10-05
15,317,454,5,2024-08-14
16,99,361,2,2024-11-08
17,117,396,3,2023-03-23
18,438,120,5,2024-01-25
19,143,233,4,2024-01-09
20,84,190,4,2024-11-17
21,137,360,5,2024-10-25
22,37,312,4,2024-06-30
23,374,126,3,2024-01-24
24,139,474,4,2024-07-24
25,113,351,3,2023-02-27
26,118,421,1,2023-11-20
27,206,138,2,2024-08-03
28,449,368,3,2024-11-02
29,256,203,5,2024-10-20
30,235,74,3,2023-09-10
31,382,288,4,2024-08-21
32,220,460,4,2024-01-06
33,113,71,4,2023-04-04
34,387,25,5,2023-06-06
35,322,82,5,2024-03-08
36,306,33,4,2024-09-02
37,240,271,3,2024-07-20
38,441,483,1,2023-04-28
39,350,454,4,2023-10-01
40,394,329,4,2023-10-28
41,223,81,4,2023-09-27
42,498,257,5,2024-06-03
43,468,55,5,2023-11-02
44,431,328,4,2023-07-23
45,79,192,5,2024-07-06
46,489,399,5,2023-01-01
47,307,166,4,2023-04-25
48,476,186,5,2023-11-11
49,123,30,3,2024-08-03
50,485,41,2,2024-05-12
51,418,36,5,2024-06-29
52,393,65,2,2024-05-01
53,485,282,3,2024-06-24
54,447,311,4,2023-08-05
55,476,277,5,2024-12-07
56,103,366,3,2024-11-18
57,333,192,4,2024-06-13
58,232,62,3,2023-03-07
59,174,11,4,2023-08-24
60,302,113,1,2024-12-25
61,324,31,3,2023-02-02
62,441,170,2,2023-09-01
63,143,343,4,2024-07-06
64,68,371,5,2024-08-07
65,296,243,3,2024-04-29
66,414,209,3,2023-04-10
67,338,221,4,2024-02-25
68,240,443,5,2024-11-20
69,335,331,2,2024-02-17
70,373,174,5,2023-04-22
71,128,99,3,2024-04-04
72,72,217,3,2024-04-18
73,128,448,5,2024-03-29
74,414,442,5,2023-04-11
75,26,334,5,2023-01-16
76,497,48,5,2023-08-31
77,86,209,4,2023-08-07
78,443,206,5,2023-06-18
79,195,2,5,2023-09-29
80,475,402,5,2023-10-20
81,217,357,5,2024-07-23
82,339,368,4,2023-07-14
83,152,112,5,2024-08-16
84,377,278,2,2023-11-18
85,30,26,4,2024-05-29
86,471,437,4,2023-02-28
87,492,261,2,2023-07-10
88,36,305,2,2023-08-29
89,207,62,5,2024-08-06
90,127,297,4,2024-09-26
91,42,215,4,2024-08-01
92,268,162,5,2023-07-29
93,343,367,3,2023-09-29
94,203,68,4,2023-11-04
95,235,162,5,2023-03-16
96,5,235,4,2024-07-30
97,52,38,4,2024-06-02
98,136,68,5,2023-03-12
99,451,126,4,2023-06-11
100,225,427,4,2023-11-06
101,314,414,4,2023-01-09
102,342,419,4,2024-11-10
103,54,481,5,2023-09-28
104,60,456,2,2024-07-20
105,80,140,3,2023-08-04
106,368,176,3,2024-10-11
107,437,136,4,2023-09-15
